Locale Key	Facility Name	Address	City	State	ZIP Code	Area	District	NASS Code	Facility Type								
W12287	CARBONDALE	1301 E MAIN ST	CARBONDALE	IL	629011026	Great Lakes (J)	Gateway	629	Plant	 							
W12295	CAROL STREAM	500 FULLERTON AVE	CAROL STREAM	IL	601999997	Great Lakes (J)	Central Illinois	601	Plant	 							
W10224	CARROLL	614 N CLARK ST	CARROLL	IA	514012578	Western (E)	Hawkeye	514	Plant	 							
W1B333	CASPER	411 N FOREST DR	CASPER	WY	826099997	Western (E)	Colorado/Wyoming	826	Plant	 							
W10239	CEDAR RAPIDS	615 6TH AVE SE	CEDAR RAPIDS	IA	524019997	Western (E)	Hawkeye	522	Plant	 							
V27659	CENTRAL MA	192 MAIN ST	SHREWSBURY	MA	015460001	Northeast (B)	Greater Boston	015	Plant	 							
W12345	CENTRALIA	314 S POPLAR ST	CENTRALIA	IL	628019997	Great Lakes (J)	Gateway	628	Plant	 							
W12356	CHAMPAIGN	2001 N MATTIS AVE	CHAMPAIGN	IL	618219997	Great Lakes (J)	Gateway	618	Plant	 							
X28291	CHARLESTON	1000 CENTRE WAY	CHARLESTON	WV	253099426	Eastern (C)	Appalachian	250	Plant	 							
X29536	CHARLESTON	7075 CROSS COUNTY RD	NORTH CHARLESTON	SC	294189996	Capital Metro (K)	Greater So Carolina	294	Plant	 							
Y14992	CHARLOTTE	2901 SCOTT FUTRELL DR	CHARLOTTE	NC	282289880	Capital Metro (K)	Mid-Carolinas	280	Plant	 							
008903	CHARLOTTE L&DC	1820 W POINTE DR STE A	CHARLOTTE	NC	282149106	Capital Metro (K)	Mid-Carolinas	28H	Plant	 							
X25002	CHATTANOOGA	6050 SHALLOWFORD RD	CHATTANOOGA	TN	374219997	Eastern (C)	Tennessee	373	Plant	 							
W1B336	CHEYENNE	4800 CONVERSE AVE	CHEYENNE	WY	820099997	Western (E)	Colorado/Wyoming	820	Plant	 							
W12399	CHICAGO	433 W HARRISON ST STE 7032	CHICAGO	IL	606999997	Great Lakes (J)	Chicago	606	Plant	 							
010963	CHICAGO 2CMETRO	7500 ROOSEVELT RD STE 60821	FOREST PARK	IL	601302211	Great Lakes (J)	Central Illinois	60821	NDC	 							
009713	CHICAGO METRO SURFACE HUB	2591 BUSSE RD	ELK GROVE VILLAGE	IL	600076101	Great Lakes (J)	Chicago	60H	Annex	 							
W12400	CHICAGO NDC	7500 ROOSEVELT RD	FOREST PARK	IL	601302296	Great Lakes (J)	Central Illinois	60Z	NDC	 							
W23230	CHILDRESS	507 AVENUE F NW	CHILDRESS	TX	792019997	Southern (G)	Ft Worth	792	Plant	 							
X29487	CHILLICOTHE	40 S WALNUT ST	CHILLICOTHE	OH	456013257	Eastern (C)	Cincinnati	456	Plant	 							
X20547	CINCINNATI	1591 DALTON AVE	CINCINNATI	OH	452349997	Eastern (C)	Cincinnati	450	Plant	 							
X20548	CINCINNATI NDC	3055 CRESCENTVILLE RD	CINCINNATI	OH	452359998	Eastern (C)	Cincinnati	45Z	NDC	 							
X20577	CLEVELAND	2400 ORANGE AVE RM 30	CLEVELAND	OH	441019701	Eastern (C)	Northern Ohio	440	Plant	 							
W21957	CLINTON	212 S 11TH ST	CLINTON	OK	736013931	Southern (G)	Oklahoma	736	Plant	 							
W20353	COLBY	535 N COURT AVE	COLBY	KS	677019902	Western (E)	Central Plains	677	Plant	 							
Z17854	COLORADO SPRINGS	3655 E FOUNTAIN BLVD	COLORADO SPRINGS	CO	809103733	Western (E)	Colorado/Wyoming	808	Plant	 							
X23726	COLUMBIA	2001 DIXIANA RD	COLUMBIA	SC	292929990	Capital Metro (K)	Greater So Carolina	290	Plant	 							
X10273	COLUMBUS	3916 MILGEN RD	COLUMBUS	GA	319079992	Southern (G)	Gulf Atlantic	318	Plant	 							
X11920	COLUMBUS	450 JACKSON ST	COLUMBUS	IN	472019997	Great Lakes (J)	Greater Indiana	472	Plant	 							
X20642	COLUMBUS	2323 CITYGATE DR	COLUMBUS	OH	432189997	Eastern (C)	Cincinnati	430	Plant	 							
W23343	CORPUS CHRISTI	809 NUECES BAY BLVD	CORPUS CHRISTI	TX	784699997	Southern (G)	Rio Grande	783	Plant	 							
